node_id,x0,x1,x2,x3,x4,parent_id
199,-23.74542759,-44.42836931,-1.637646596,0.7841022666,36.3052796,44
200,3.64691287,-8.350292807,-5.307664452,-6.249020631,35.70014236,212
201,-7.808516714,22.67226701,-1.264196726,-8.501953703,22.37688416,166
202,-27.06842724,24.49655732,-2.305299257,-0.3197589402,35.28082998,75
203,-46.01826183,-13.37829324,1.554587649,-3.701113494,17.47974408,2
204,-40.63429513,-41.42103978,2.140482126,5.704370107,13.94718173,39
205,-46.56778269,-47.63520778,-6.260502997,8.712161667,7.795751392,0
206,-9.126573968,-22.38359012,-0.931449349,-5.725585809,38.54027945,22
207,-44.56081181,-6.206413757,7.638703982,2.988346372,37.41748093,36
208,7.343710406,4.3554358,-5.427465358,-0.1342556518,22.15391127,219
209,-48.17306604,-44.49278842,6.5174622,-5.015251478,31.27022389,11
210,-39.52191796,-3.377542045,6.11450262,7.050145184,33.57251187,5
211,-48.1307006,1.849235805,7.32038098,3.698781635,35.7635015,78
212,-11.10908466,-19.16211446,-5.277762027,-0.8477558921,29.92353823,143
213,-48.67836693,-21.07272418,7.083474887,7.108172991,32.87026782,197
214,-0.4728029251,-19.51136173,6.570188953,3.541306238,38.5207787,22
215,-37.71259318,11.48487076,-5.03008957,2.166386143,37.2837954,78
216,-17.48527492,-4.670488646,2.893924127,8.156881705,22.86506682,118
217,-11.08936717,-43.74248441,-6.781010764,4.21020959,20.09190249,23
218,-15.98088367,-15.99935501,-1.88124183,6.339072055,30.34715516,259
219,-1.92612589,-6.360375162,-2.893185354,-4.881717577,19.66072335,189
220,-20.62024436,-14.54794934,4.577822248,1.836297257,39.27899214,143
221,-42.17787546,8.252821285,3.824383616,1.715238832,22.32144979,231
222,8.534878017,-5.140102582,4.171961979,4.83152229,23.48672113,219
